模型,对象,月份,MAE,RMSE,WAPE_percent,Bias,R2,Daily_energy_MAPE_percent,Daily_energy_MAE,Daily_peak_MAE,Daylight_MAE,Daylight_WAPE_percent,Overforecast_rate_percent
XGBoost,光伏,10,131.8648336292558,275.3634960558088,5.577300075831902,19.31348000922498,0.9923148346487699,3.74945881708021,2148.772012967959,391.44346781754035,258.6580224981078,5.435754197509472,63.43552750225429
XGBoost,光伏,11,98.51675708476371,197.87728344751548,5.3126625482302305,48.49690058061817,0.994164424093964,3.1999172313620567,1372.8782203186674,324.02507822916664,206.3611898446896,5.115966323062189,68.37865055387714
XGBoost,光伏,12,78.53302942648737,160.78896747125316,5.187681026953202,21.845833781939852,0.9944943039692606,2.561165888033233,928.1567013155086,247.77703130040314,167.02242169811157,4.950560478025514,61.55766350474289
LightGBM,负载,2,94.67538734353609,121.34573550669023,2.0960282061746853,2.472022223468125,0.9926845197010556,0.6664940720811157,630.7357703364079,98.63418815294813,,,
LightGBM,负载,3,93.01680296712321,120.08258033555236,2.135563288617127,-3.5165827506908136,0.992395876707707,0.7361032768565317,674.0256821311716,150.42609600818665,,,
LightGBM,负载,4,81.67922903680731,102.21613403861016,1.8593352833415913,-4.719337454095242,0.9944253644742939,0.2590686197598824,263.60379817291107,99.81914338893503,,,
LightGBM,负载,5,105.67151855414626,138.6394243876541,2.400734444323193,-0.448356828540443,0.9894656887985745,0.621689529094818,618.7500286768096,82.19826889111545,,,
LightGBM,负载,6,134.27958586113243,180.58917399843526,2.797318976101213,5.723692583391351,0.9816550906755759,1.0252931110654373,1055.1380830758455,192.04742148011871,,,
LightGBM,负载,7,169.19947155567033,232.0724747931487,3.170073041370126,2.118733389961833,0.969503467900548,1.6964526505488526,1986.4852983819358,273.35473957879896,,,
LightGBM,负载,8,125.41688547786883,157.2787232693583,2.4858828144385967,13.462211038150068,0.9861271740946801,0.5065336614700274,565.2062136458366,137.54018078723317,,,
LightGBM,负载,9,142.12108557334093,203.85987876241927,3.13321851332851,-0.05769267441769612,0.9769860650282787,1.716475154144637,1691.4922865129095,174.3880257903398,,,
LightGBM,负载,10,95.9674229033141,127.47239789201797,2.207607441180484,-5.152773975748817,0.9913741579628382,0.7225069830952872,735.345973118583,125.74821633520062,,,
LightGBM,负载,11,83.24091785498896,103.93671588977867,1.9190780155414855,-6.45575738137214,0.9943129368873135,0.29023689448887463,292.23132187528586,102.39468154847263,,,
LightGBM,负载,12,115.43510255995065,155.146075692578,2.460642080967751,-10.477093322838385,0.9882758336194406,1.0518337789978756,1131.939143047982,145.19952102396343,,,
LightGBM,光伏,2,107.97034655527652,219.0943226050057,5.490537789462859,-10.124232288261865,0.9931869929156248,3.129040037037287,1471.2375212908287,401.54324979740016,219.40226106510696,5.359971743783342,47.70263293753227
LightGBM,光伏,3,162.83956806195266,326.98279365364726,7.067086075480312,-4.510209290429845,0.9875525069817613,4.933699898881709,2687.6070729726453,598.8366722614447,307.58734205560705,6.9496395533358974,51.16179001721171
LightGBM,光伏,4,179.91335402933964,354.21623901540147,6.659299960020267,-7.666830605808161,0.9879718760280711,4.13610213028793,2657.5299931655036,626.3168190955189,316.1398296333971,6.5659011348140615,52.06270627062707
LightGBM,光伏,5,188.93018575620914,346.4842424132491,6.731873309228124,9.09859732971414,0.9882912573491166,3.7299138482134815,2484.6376221386295,645.2265289627549,315.07027246017594,6.641829463826672,54.94131010980689
LightGBM,光伏,6,203.3480760994896,396.7671535819723,8.580715529014588,8.575759062205455,0.9777642515096011,4.858045090098894,2752.8607783185153,620.5415452946837,324.2281204674455,8.465452562998522,54.73251028806584
LightGBM,光伏,7,189.7731076888061,351.970740873399,6.96861506584089,-20.442747002665534,0.9870581592028874,3.7697148146520645,2454.076656577765,659.7788208792797,311.6778026109699,6.858333633839826,51.214953271028044
LightGBM,光伏,8,180.73442075151482,333.8170692293178,6.198040084048881,1.6283541628450005,0.9905073635262779,3.3674626233823717,2335.212267933118,610.5276156871295,309.55951636341655,6.095133949311232,56.30120952009364
LightGBM,光伏,9,155.9871736670365,302.6571074428348,5.982021905697299,26.892982665411964,0.9913243192584171,3.4130534362018414,2120.0409749569244,433.01415974126706,285.08430024268597,5.856165765181186,61.495246326707
LightGBM,光伏,10,131.55417685766238,274.6852605216583,5.564160666422438,21.332259441778373,0.9923526460010047,3.748308698602116,2150.94273381228,387.5149878541558,257.86828700254677,5.419157735534473,63.0297565374211
LightGBM,光伏,11,99.2659965936073,199.32886167918087,5.353066402316322,48.87537322990647,0.9940784934138751,3.307731662391079,1419.4110790224966,330.11623086689116,208.04434672594638,5.157694004160659,68.37865055387714
LightGBM,光伏,12,78.14644275681114,159.36327285511504,5.1621441497157114,21.538489335801117,0.9945915076683821,2.4831510911246313,899.4908337115593,244.80861222065596,166.02955045953564,4.921131680002537,61.8572141787319
SARIMA,负载,2,385.6539076353534,566.0457625554208,8.538031804317479,201.21426971549394,0.8408169229425968,10.684649540160633,8859.67788700849,515.932889437964,,,
SARIMA,负载,3,386.6340784965069,571.5932201305849,8.876692359092258,218.3614756999165,0.8277087330605857,10.922297101238513,8514.371670544937,488.7548722970116,,,
SARIMA,负载,4,344.3689463124489,497.61338407360586,7.839169638554785,141.32208896620955,0.8678820941467663,9.960012056435612,8070.042988341736,470.7356201643495,,,
SARIMA,负载,5,410.08504565928223,526.1770127332788,9.316657011147484,110.68296469565367,0.8482612881679591,11.221547505557778,9724.606416216744,492.78213350160945,,,
SARIMA,负载,6,461.2270562908429,528.170331600549,9.608304855720654,-120.40607716766833,0.8430793309883706,10.463011837305404,11036.204333054131,643.7441928341262,,,
SARIMA,负载,7,570.4066103481533,624.8960333432672,10.686975564749602,-382.3436007716949,0.7788847352462441,10.428877939121723,13535.16914239607,734.5416242407587,,,
SARIMA,负载,8,407.65227291896673,453.47777353201684,8.08005856352503,-80.36641317829167,0.8846714060018438,8.578920866756084,9712.921001140181,550.9392974145615,,,
SARIMA,负载,9,458.05505982048294,675.7896185629835,10.09833683554798,412.2600456524928,0.7470990910786566,11.18266188091675,9894.241095659823,444.20926218788395,,,
SARIMA,负载,10,483.2494480607822,718.8810822714523,11.116533561187287,453.34081559663014,0.7256636854168194,13.018768214467629,10963.0350101755,491.9462900329906,,,
SARIMA,负载,11,310.6039063571205,470.9746734005758,7.160818784694974,213.07839303938994,0.883226264077623,8.805133216724665,6647.517279701527,389.3434695643307,,,
SARIMA,负载,12,335.08859816855266,428.74187566768313,7.142828197149276,23.35254357483836,0.9104651335081599,8.14929310084989,7729.572645757004,505.0972255834422,,,
SARIMA,光伏,2,117.5924783872104,235.14591561579374,5.979845086549094,-15.062179437766122,0.9921521359304388,3.993842811807337,1844.3131268508828,386.5393831381043,244.74021940913016,5.9789751219154486,38.25503355704698
SARIMA,光伏,3,158.6186628380999,309.9404190770206,6.883902707405648,-54.91192883478566,0.9888162223728929,4.9142239988363725,2709.9142817351544,562.212269760457,304.64978960078724,6.8832683867151205,28.74354561101549
SARIMA,光伏,4,174.22555431087446,328.19253455930715,6.448772149885608,-35.275571124354244,0.9896743272621634,3.7540558748228725,2434.415336512796,585.9704289890673,310.47792667830333,6.448309197470492,35.89108910891089
SARIMA,光伏,5,216.60785900916662,400.6399929749359,7.718071407151701,65.99405944921155,0.9843450428528973,5.4176821367095505,3589.676595942406,566.0073488545914,366.1078228310743,7.717725019342203,51.533510034078
SARIMA,光伏,6,197.1478482098602,383.49144124674746,8.319083391861039,72.67414183612814,0.9792273606517263,5.724762781219908,3197.0862855698388,500.6558391501939,318.6197370692591,8.319020157493389,58.81032547699214
SARIMA,光伏,7,171.63109440061277,324.60975945346803,6.302426327802708,-36.556484076261775,0.9889920594837465,3.414732048522648,2240.597896150621,552.2804190104401,286.3760661706635,6.301579997329824,48.074766355140184
SARIMA,光伏,8,177.5330354612367,333.93702475532507,6.088252948476579,-41.89521587338308,0.9905005400358188,3.5270342746078764,2468.747713642411,559.1999950775838,309.1215922785718,6.086511355542787,48.53687085446742
SARIMA,光伏,9,153.0789393301222,293.87079365795137,5.8704927260773285,31.06826707000926,0.991820727837328,3.19141717520565,1976.6752984802722,439.3973960737542,285.62683679727127,5.867310482707254,62.96456352636128
SARIMA,光伏,10,136.63404953767343,279.8237888384119,5.77901684531164,38.178788807236195,0.9920638521949118,4.002885681889371,2268.018420267305,407.9288843633944,274.8014713223406,5.775012260573202,67.80883678990082
SARIMA,光伏,11,111.86439251869254,225.85827960703696,6.03245362718599,85.58829164699424,0.9923973696520317,4.767816771535105,2062.022334645484,320.921536028608,243.2436006775534,6.030329977760465,80.91641490433031
SARIMA,光伏,12,87.93901203501892,187.01877093207207,5.809014978724498,60.09752402881899,0.9925514774873465,4.19693626694448,1507.8648138697172,246.86049360273935,195.9605739380968,5.808290065046441,74.6380429355966
