模型,对象,月份,MAE,RMSE,WAPE_percent,Bias,Daylight_MAE,Daylight_WAPE_percent
SARIMA,负载,9,464.70005697345624,682.2003481750626,10.244912545244688,414.1167059671429,,
SARIMA,负载,10,489.2297957272614,722.9265982878183,11.254373179208027,454.69221910474715,,
SARIMA,负载,11,320.6316531159553,476.19601875287464,7.391792219588914,213.95122290771192,,
SARIMA,负载,12,340.821300453469,435.288623210922,7.264955813905383,23.74470573170853,,
SARIMA,光伏,2,119.2013711470184,238.37015798463696,6.061660944131774,-15.062179437766119,254.3895747736017,6.060691028338719
SARIMA,光伏,3,160.60084083957872,313.8301158596988,6.969927392438251,-54.91192883478566,316.9052659893056,6.969139963674278
SARIMA,光伏,4,176.58853463329854,332.922726372859,6.536235333769564,-35.27557112435425,323.35331564693615,6.535630746042186
SARIMA,光伏,5,218.8597759236954,405.3495776681116,7.798310672840442,65.99405944921153,376.76473125020095,7.798010479258502
SARIMA,光伏,6,200.12846371066465,388.88522163532036,8.444856962992644,72.67414183612814,334.3200063337446,8.444838736815626
SARIMA,光伏,7,175.08811639399192,330.28051328464846,6.429370845070717,-36.55648407626177,298.3762211516974,6.428178693868797
SARIMA,光伏,8,180.44500570604603,339.1078357601903,6.188114990393321,-41.89521587338307,321.5065300678586,6.184635466867868
SARIMA,光伏,9,155.1878365624513,298.395240300829,5.951367769480483,31.068267070009252,296.84699996364395,5.944944989446053
SARIMA,光伏,10,138.10294299393541,283.13901162208674,5.841144551080657,38.1787888072362,285.8774924579102,5.834415399095745
SARIMA,光伏,11,112.87997580060261,228.37545991253538,6.087220465093271,85.58829164699424,251.3442478475119,6.083678398403968
SARIMA,光伏,12,89.12761051068435,189.66759650149294,5.887530602098571,60.09752402881899,208.14051303135895,5.88594148783981
