日期,时段序号,开始时刻,结束时刻,时间区间,时长_h,区间平均电价,预测负载功率,预测光伏功率,预测净负荷功率
2025-07-19,27,04:20,04:30,04:20—04:30,0.166667,0.437650,3381.745728,0.000000,3381.745728
2025-07-19,28,04:30,04:40,04:30—04:40,0.166667,0.437850,3255.942993,1.387083,3254.555910
2025-07-19,29,04:40,04:50,04:40—04:50,0.166667,0.440750,3187.274414,1.387083,3185.887331
2025-07-19,30,04:50,05:00,04:50—05:00,0.166667,0.440850,3218.892578,0.000000,3218.892578
2025-07-19,31,05:00,05:10,05:00—05:10,0.166667,0.436400,3280.836914,43.044870,3237.792044
2025-07-19,32,05:10,05:20,05:10—05:20,0.166667,0.438600,3292.155396,168.832262,3123.323133
2025-07-19,33,05:20,05:30,05:20—05:30,0.166667,0.437000,3226.064331,356.350135,2869.714196
2025-07-19,34,05:30,05:40,05:30—05:40,0.166667,0.400700,3151.035278,567.628641,2583.406637
2025-07-19,35,05:40,05:50,05:40—05:50,0.166667,0.471050,3127.296875,790.055074,2337.241801
2025-07-19,36,05:50,06:00,05:50—06:00,0.166667,0.740350,3105.163086,1030.348794,2074.814292
2025-07-19,37,06:00,06:10,06:00—06:10,0.166667,0.923350,3153.972168,1274.620939,1879.351229
2025-07-19,38,06:10,06:20,06:10—06:20,0.166667,0.906300,3183.169434,1512.528055,1670.641379
2025-07-19,39,06:20,06:30,06:20—06:30,0.166667,0.875850,3161.895752,1757.130461,1404.765291
2025-07-19,40,06:30,06:40,06:30—06:40,0.166667,0.868000,3166.906738,2025.430847,1141.475891
2025-07-19,41,06:40,06:50,06:40—06:50,0.166667,0.852150,3132.205688,2300.618823,831.586866
2025-07-19,42,06:50,07:00,06:50—07:00,0.166667,0.838800,3287.329590,2563.395438,723.934152
2025-07-19,43,07:00,07:10,07:00—07:10,0.166667,0.821300,3470.247070,2845.253978,624.993092
2025-07-19,44,07:10,07:20,07:10—07:20,0.166667,0.803200,3442.353149,3155.495068,286.858082
2025-07-19,45,07:20,07:30,07:20—07:30,0.166667,0.780800,3516.939453,3446.429417,70.510036
2025-07-19,46,07:30,07:40,07:30—07:40,0.166667,0.727150,3592.648071,3680.060423,-87.412352
2025-07-19,47,07:40,07:50,07:40—07:50,0.166667,0.774950,3559.669800,3917.498546,-357.828746
2025-07-19,48,07:50,08:00,07:50—08:00,0.166667,1.010850,3575.194702,4217.347813,-642.153111
2025-07-19,49,08:00,08:10,08:00—08:10,0.166667,1.165000,3603.708008,4489.317632,-885.609624
2025-07-19,50,08:10,08:20,08:10—08:20,0.166667,1.131950,3623.242798,4699.874217,-1076.631419
2025-07-19,51,08:20,08:30,08:20—08:30,0.166667,1.090250,3711.537964,4929.995375,-1218.457411
2025-07-19,52,08:30,08:40,08:30—08:40,0.166667,1.072950,3691.271606,5201.113432,-1509.841826
2025-07-19,53,08:40,08:50,08:40—08:50,0.166667,1.052000,3663.003906,5463.721099,-1800.717192
2025-07-19,54,08:50,09:00,08:50—09:00,0.166667,1.039500,3965.587402,5689.613156,-1724.025754
2025-07-19,55,09:00,09:10,09:00—09:10,0.166667,1.025350,4205.040771,5925.883972,-1720.843201
2025-07-19,56,09:10,09:20,09:10—09:20,0.166667,1.003450,4187.334717,6187.423983,-2000.089267
2025-07-19,57,09:20,09:30,09:20—09:30,0.166667,0.981100,4157.048828,6427.094872,-2270.046044
2025-07-19,58,09:30,09:40,09:30—09:40,0.166667,0.956100,4200.622314,6621.322422,-2420.700108
2025-07-19,59,09:40,09:50,09:40—09:50,0.166667,0.949550,4207.128662,6779.192167,-2572.063505
2025-07-19,60,09:50,10:00,09:50—10:00,0.166667,0.977300,4159.608643,6946.934619,-2787.325976
2025-07-19,61,10:00,10:10,10:00—10:10,0.166667,0.994800,4207.345947,7183.687958,-2976.342011
2025-07-19,62,10:10,10:20,10:10—10:20,0.166667,0.975350,4235.433838,7397.465259,-3162.031421
2025-07-19,63,10:20,10:30,10:20—10:30,0.166667,0.956850,4180.064453,7470.715173,-3290.650720
2025-07-19,64,10:30,10:40,10:30—10:40,0.166667,0.969400,4189.836914,7515.238844,-3325.401929
2025-07-19,65,10:40,10:50,10:40—10:50,0.166667,0.891450,4315.174561,7636.775187,-3321.600626
2025-07-19,66,10:50,11:00,10:50—11:00,0.166667,0.650750,4410.500732,7785.543197,-3375.042465
2025-07-19,67,11:00,11:10,11:00—11:10,0.166667,0.484350,4408.596680,7894.105142,-3485.508462
2025-07-19,68,11:10,11:20,11:10—11:20,0.166667,0.483450,4349.075439,7969.274355,-3620.198915
2025-07-19,69,11:20,11:30,11:20—11:30,0.166667,0.491700,4279.017822,8029.551339,-3750.533517
2025-07-19,70,11:30,11:40,11:30—11:40,0.166667,0.480600,4241.274414,8018.081345,-3776.806931
2025-07-19,71,11:40,11:50,11:40—11:50,0.166667,0.472350,4233.736084,7982.891125,-3749.155041
2025-07-19,72,11:50,12:00,11:50—12:00,0.166667,0.454700,4217.507324,8025.308584,-3807.801260
2025-07-19,73,12:00,12:10,12:00—12:10,0.166667,0.442150,4231.048096,8082.451768,-3851.403672
2025-07-19,74,12:10,12:20,12:10—12:20,0.166667,0.448100,4316.532715,8116.865814,-3800.333100
2025-07-19,75,12:20,12:30,12:20—12:30,0.166667,0.450700,4300.833008,8139.410100,-3838.577092
2025-07-19,76,12:30,12:40,12:30—12:40,0.166667,0.428800,4278.902344,8064.649237,-3785.746893
2025-07-19,77,12:40,12:50,12:40—12:50,0.166667,0.489750,4307.764648,7987.729529,-3679.964881
2025-07-19,78,12:50,13:00,12:50—13:00,0.166667,0.698050,4276.427490,8045.029661,-3768.602171
2025-07-19,79,13:00,13:10,13:00—13:10,0.166667,0.845750,4291.323975,8042.802822,-3751.478847
2025-07-19,80,13:10,13:20,13:10—13:20,0.166667,0.852600,4391.449951,7914.094697,-3522.644746
2025-07-19,81,13:20,13:30,13:20—13:30,0.166667,0.851700,4410.075439,7824.765116,-3414.689676
2025-07-19,82,13:30,13:40,13:30—13:40,0.166667,0.862050,4423.708984,7773.425001,-3349.716017
2025-07-19,83,13:40,13:50,13:40—13:50,0.166667,0.882450,4500.429688,7670.056651,-3169.626963
2025-07-19,84,13:50,14:00,13:50—14:00,0.166667,0.939000,4488.327393,7492.180610,-3003.853217
2025-07-19,85,14:00,14:10,14:00—14:10,0.166667,0.987800,4424.264404,7269.850288,-2845.585884
2025-07-19,86,14:10,14:20,14:10—14:20,0.166667,0.999000,4352.203613,6981.282728,-2629.079115
2025-07-19,87,14:20,14:30,14:20—14:30,0.166667,1.012450,4329.402832,6639.184771,-2309.781939
2025-07-19,88,14:30,14:40,14:30—14:40,0.166667,1.058850,4385.741455,6407.863718,-2022.122263
2025-07-19,89,14:40,14:50,14:40—14:50,0.166667,1.014100,4481.059082,6254.582882,-1773.523800
2025-07-19,90,14:50,15:00,14:50—15:00,0.166667,0.803500,4562.929443,6012.090023,-1449.160579
2025-07-19,91,15:00,15:10,15:00—15:10,0.166667,0.664700,4604.590088,5759.494112,-1154.904025
2025-07-19,92,15:10,15:20,15:10—15:20,0.166667,0.690850,4593.459961,5527.571304,-934.111343
2025-07-19,93,15:20,15:30,15:20—15:30,0.166667,0.726250,4564.442627,5228.359767,-663.917140
2025-07-19,94,15:30,15:40,15:30—15:40,0.166667,0.742100,4521.849609,4923.324121,-401.474512
2025-07-19,95,15:40,15:50,15:40—15:50,0.166667,0.767850,4528.024902,4680.042190,-152.017288
2025-07-19,96,15:50,16:00,15:50—16:00,0.166667,0.793900,4653.200195,4458.574319,194.625877
2025-07-19,97,16:00,16:10,16:00—16:10,0.166667,0.816300,4654.744141,4204.454236,450.289905
2025-07-19,98,16:10,16:20,16:10—16:20,0.166667,0.839500,4537.632812,3932.253689,605.379124
2025-07-19,99,16:20,16:30,16:20—16:30,0.166667,0.865500,4620.401855,3675.140764,945.261091
2025-07-19,100,16:30,16:40,16:30—16:40,0.166667,0.890750,4892.305664,3391.992457,1500.313207
2025-07-19,101,16:40,16:50,16:40—16:50,0.166667,0.909350,4659.910400,3080.595184,1579.315216
2025-07-19,102,16:50,17:00,16:50—17:00,0.166667,0.921350,4149.733521,2791.468914,1358.264607
2025-07-19,103,17:00,17:10,17:00—17:10,0.166667,0.936300,4118.120483,2517.169332,1600.951152
2025-07-19,104,17:10,17:20,17:10—17:20,0.166667,0.960200,4219.789062,2227.532345,1992.256717
2025-07-19,105,17:20,17:30,17:20—17:30,0.166667,0.980200,4159.242310,1926.215012,2233.027297
2025-07-19,106,17:30,17:40,17:30—17:40,0.166667,0.981100,4113.475220,1646.070408,2467.404811
2025-07-19,107,17:40,17:50,17:40—17:50,0.166667,1.025100,4164.500732,1404.305622,2760.195111
2025-07-19,108,17:50,18:00,17:50—18:00,0.166667,1.152750,4186.064209,1183.363461,3002.700748
2025-07-19,109,18:00,18:10,18:00—18:10,0.166667,1.243700,4188.908936,958.761535,3230.147400
