24:00基础模型,边界预测方法,评价对象,月份,样本数,MAE,RMSE,WAPE_percent,Bias,MAPE_percent,R2
XGBoost,目标时刻上周同期,次日00:10端点,8,31,167.47304193548385,224.54734436798228,4.016269350084142,51.66413225806454,4.009812126073139,0.788950921273704
XGBoost,目标时刻上周同期,最后10分钟区间平均,8,31,150.3394828692037,208.33943747454222,3.5873919154714615,44.95096088079631,3.6294881435112227,0.8275333097398122
XGBoost,目标时刻上周同期,次日00:10端点,9,30,317.4178599999999,404.1386174088398,9.460443136975218,176.21339333333327,9.900831113011419,0.37671785090406884
XGBoost,目标时刻上周同期,最后10分钟区间平均,9,30,237.41710825520835,310.4055466696068,7.070205748005883,79.79006776041663,7.286680499948578,0.5597040889830074
XGBoost,目标时刻上周同期,次日00:10端点,10,31,117.00005806451614,149.08805025123306,3.7628751970904775,19.164819354838734,3.927561061482067,0.9073603488316103
XGBoost,目标时刻上周同期,最后10分钟区间平均,10,31,86.55632065902228,117.57694626680868,2.771084797796185,8.200021982106884,2.8853030653635647,0.9338887427061004
XGBoost,目标时刻上周同期,次日00:10端点,11,30,113.21751333333333,156.82927471980693,3.5808073874537065,1.53454666666665,3.6435751395322575,0.87798029790508
XGBoost,目标时刻上周同期,最后10分钟区间平均,11,30,100.14737787109374,114.13192632152547,3.174885559704387,-0.4668804752604653,3.292187714774395,0.9339658041548223
XGBoost,目标时刻上周同期,次日00:10端点,12,30,172.38007333333334,218.7143669467402,5.236864302523896,-26.534299999999998,5.3038159149207305,0.7972639929496428
XGBoost,目标时刻上周同期,最后10分钟区间平均,12,30,138.539599609375,168.15070455341566,4.233923992885806,-6.805761328124997,4.260926538024751,0.8685918454557691
LightGBM,XGBoost跨日边界,次日00:10端点,2,28,200.67581079799103,275.9716396808395,6.38473904604488,38.27511356026788,7.20768366447072,0.6673894748933755
LightGBM,XGBoost跨日边界,最后10分钟区间平均,2,28,102.4467429900567,146.4123678645181,3.2740578632469806,22.13990723006907,3.6413357841261105,0.8914306725594001
LightGBM,XGBoost跨日边界,次日00:10端点,3,31,91.50669928175405,110.04680532270422,2.8769300774238595,-9.207249130544428,3.04884794104651,0.9361420225685445
LightGBM,XGBoost跨日边界,最后10分钟区间平均,3,31,78.55697163886227,90.00986372272108,2.4740678095033797,-15.967891492835788,2.596648067893088,0.9549922525959351
LightGBM,XGBoost跨日边界,次日00:10端点,4,30,102.96158671875001,126.28498709758756,3.256579864247479,-11.578513671874967,3.386464215628461,0.9285684314508267
LightGBM,XGBoost跨日边界,最后10分钟区间平均,4,30,102.28871654643517,128.5312502937018,3.2456339901722324,-5.004469997738427,3.338098787742552,0.9254297899454607
LightGBM,XGBoost跨日边界,次日00:10端点,5,31,143.49039751764116,204.98642273094683,4.483924674788998,-73.11021062247985,4.314713810789048,0.8449270433268775
LightGBM,XGBoost跨日边界,最后10分钟区间平均,5,31,124.44051344623384,189.19740936424478,3.86400614044464,-39.97812148494306,3.7575261358856715,0.8612049924579416
LightGBM,XGBoost跨日边界,次日00:10端点,6,30,288.6086676432291,389.74948858140584,7.498105769151962,-237.96292972656252,7.194771080936917,0.41524010349935603
LightGBM,XGBoost跨日边界,最后10分钟区间平均,6,30,217.69490454513445,300.62043596715415,5.6642720943212845,-124.52148119810914,5.62065242738619,0.6127010912692831
LightGBM,XGBoost跨日边界,次日00:10端点,7,31,307.08492491179436,382.305146851207,7.134037151688882,-178.80387896925404,7.0867796027082,0.3847159142244675
LightGBM,XGBoost跨日边界,最后10分钟区间平均,7,31,235.0213949509107,296.22667058600814,5.429743344606178,-48.9722680482112,5.633258076247787,0.6163427370324357
LightGBM,XGBoost跨日边界,次日00:10端点,8,31,258.4939418346774,328.32876935353715,6.199094993288471,-57.0740408518145,6.555812449281919,0.5487829602175542
LightGBM,XGBoost跨日边界,最后10分钟区间平均,8,31,174.63401411295743,242.3619040818712,4.167106593949074,-8.742941695025072,4.40037822166634,0.7666053126068393
LightGBM,XGBoost跨日边界,次日00:10端点,9,30,244.83187226562495,332.62110939587654,7.297062634371378,117.61443497395832,7.901738457365805,0.5777947770375025
LightGBM,XGBoost跨日边界,最后10分钟区间平均,9,30,231.96891676470563,294.82942550447393,6.907960343386672,51.855570027750645,7.06485173396953,0.6027834286518368
LightGBM,XGBoost跨日边界,次日00:10端点,10,31,99.33079421622985,127.36971042603273,3.1946085159842035,55.649860824092755,3.5599342596105594,0.9323849203981409
LightGBM,XGBoost跨日边界,最后10分钟区间平均,10,31,81.06235938228842,106.33164769228303,2.59519663090411,23.85790348401918,2.820344362003321,0.945930027201841
