规划日期,目标日期,24:00基础模型,边界预测方法,预测_当日24:00,实际_当日24:00,预测_次日00:10,实际_次日00:10,预测_最后区间平均负载,实际_最后区间平均负载
2025-11-11,2025-11-12,Baseline,目标时刻上周同期,3457.44,3580.04,3388.5113,3381.7557,3422.9756500000003,3480.8978500000003
2025-11-12,2025-11-13,Baseline,XGBoost跨日边界,3203.62,3458.31,3365.060546875,3397.4385,3284.3402734375,3427.87425
2025-11-12,2025-11-13,Baseline,历史跨日比例,3203.62,3458.31,3169.8650079584,3397.4385,3186.7425039791997,3427.87425
2025-11-12,2025-11-13,Baseline,目标时刻上周同期,3203.62,3458.31,3315.0687,3397.4385,3259.34435,3427.87425
2025-11-13,2025-11-14,Baseline,XGBoost跨日边界,2374.25,2427.59,2513.395263671875,2387.825,2443.8226318359375,2407.7075
2025-11-13,2025-11-14,Baseline,历史跨日比例,2374.25,2427.59,2340.1660338631937,2387.825,2357.208016931597,2407.7075
2025-11-13,2025-11-14,Baseline,目标时刻上周同期,2374.25,2427.59,2332.5113,2387.825,2353.38065,2407.7075
2025-11-14,2025-11-15,Baseline,XGBoost跨日边界,2630.28,2534.07,2544.814453125,2422.0646,2587.5472265625003,2478.0673
2025-11-14,2025-11-15,Baseline,历史跨日比例,2630.28,2534.07,2587.740397125462,2422.0646,2609.010198562731,2478.0673
2025-11-14,2025-11-15,Baseline,目标时刻上周同期,2630.28,2534.07,2716.9924,2422.0646,2673.6362,2478.0673
2025-11-15,2025-11-16,Baseline,XGBoost跨日边界,3381.19,3263.2,3384.135986328125,3463.6701,3382.6629931640628,3363.43505
2025-11-15,2025-11-16,Baseline,历史跨日比例,3381.19,3263.2,3328.533432480538,3463.6701,3354.861716240269,3363.43505
2025-11-15,2025-11-16,Baseline,目标时刻上周同期,3381.19,3263.2,3167.857,3463.6701,3274.5235000000002,3363.43505
2025-11-16,2025-11-17,Baseline,XGBoost跨日边界,3501.71,3665.39,3518.50830078125,3292.4654,3510.109150390625,3478.9277
2025-11-16,2025-11-17,Baseline,历史跨日比例,3501.71,3665.39,3447.176528338078,3292.4654,3474.443264169039,3478.9277
2025-11-16,2025-11-17,Baseline,目标时刻上周同期,3501.71,3665.39,3397.8294,3292.4654,3449.7697,3478.9277
2025-11-17,2025-11-18,Baseline,XGBoost跨日边界,3299.55,3102.96,3494.195556640625,3495.3361,3396.8727783203126,3299.14805
2025-11-17,2025-11-18,Baseline,历史跨日比例,3299.55,3102.96,3248.164843484442,3495.3361,3273.857421742221,3299.14805
2025-11-17,2025-11-18,Baseline,目标时刻上周同期,3299.55,3102.96,3457.6302,3495.3361,3378.5901000000003,3299.14805
2025-11-18,2025-11-19,Baseline,XGBoost跨日边界,3580.04,3278.45,3374.57958984375,3398.5794,3477.309794921875,3338.5146999999997
2025-11-18,2025-11-19,Baseline,历史跨日比例,3580.04,3278.45,3519.2505912100783,3398.5794,3549.645295605039,3338.5146999999997
2025-11-18,2025-11-19,Baseline,目标时刻上周同期,3580.04,3278.45,3381.7557,3398.5794,3480.8978500000003,3338.5146999999997
2025-11-19,2025-11-20,Baseline,XGBoost跨日边界,3458.31,3573.7,3375.187744140625,3451.4104,3416.7488720703122,3512.5552
2025-11-19,2025-11-20,Baseline,历史跨日比例,3458.31,3573.7,3404.4524131686685,3451.4104,3431.381206584334,3512.5552
2025-11-19,2025-11-20,Baseline,目标时刻上周同期,3458.31,3573.7,3397.4385,3451.4104,3427.87425,3512.5552
2025-11-20,2025-11-21,Baseline,XGBoost跨日边界,2427.59,2375.58,2473.092529296875,2367.6198,2450.3412646484376,2371.5999
2025-11-20,2025-11-21,Baseline,历史跨日比例,2427.59,2375.58,2389.7842106936996,2367.6198,2408.68710534685,2371.5999
2025-11-20,2025-11-21,Baseline,目标时刻上周同期,2427.59,2375.58,2387.825,2367.6198,2407.7075,2371.5999
2025-11-21,2025-11-22,Baseline,XGBoost跨日边界,2534.07,2207.79,2499.98193359375,2513.7416,2517.025966796875,2360.7658
2025-11-21,2025-11-22,Baseline,历史跨日比例,2534.07,2207.79,2491.041258105419,2513.7416,2512.5556290527093,2360.7658
2025-11-21,2025-11-22,Baseline,目标时刻上周同期,2534.07,2207.79,2422.0646,2513.7416,2478.0673,2360.7658
2025-11-22,2025-11-23,Baseline,XGBoost跨日边界,3263.2,3314.17,3430.83935546875,3454.443,3347.019677734375,3384.3065
2025-11-22,2025-11-23,Baseline,历史跨日比例,3263.2,3314.17,3226.271674831125,3454.443,3244.7358374155624,3384.3065
2025-11-22,2025-11-23,Baseline,目标时刻上周同期,3263.2,3314.17,3463.6701,3454.443,3363.43505,3384.3065
2025-11-23,2025-11-24,Baseline,XGBoost跨日边界,3665.39,3501.22,3534.442626953125,3579.4616,3599.916313476562,3540.3408
2025-11-23,2025-11-24,Baseline,历史跨日比例,3665.39,3501.22,3647.789531637466,3579.4616,3656.589765818733,3540.3408
2025-11-23,2025-11-24,Baseline,目标时刻上周同期,3665.39,3501.22,3292.4654,3579.4616,3478.9277,3540.3408
2025-11-24,2025-11-25,Baseline,XGBoost跨日边界,3102.96,3408.88,3500.88037109375,3335.9676,3301.920185546875,3372.4238
2025-11-24,2025-11-25,Baseline,历史跨日比例,3102.96,3408.88,3088.060207805934,3335.9676,3095.510103902967,3372.4238
2025-11-24,2025-11-25,Baseline,目标时刻上周同期,3102.96,3408.88,3495.3361,3335.9676,3299.14805,3372.4238
2025-11-25,2025-11-26,Baseline,XGBoost跨日边界,3278.45,3354.59,3373.329833984375,3232.8252,3325.8899169921874,3293.7076
2025-11-25,2025-11-26,Baseline,历史跨日比例,3278.45,3354.59,3262.7075399880646,3232.8252,3270.578769994032,3293.7076
2025-11-25,2025-11-26,Baseline,目标时刻上周同期,3278.45,3354.59,3398.5794,3232.8252,3338.5146999999997,3293.7076
2025-11-26,2025-11-27,Baseline,XGBoost跨日边界,3573.7,3513.5,3380.458984375,3300.0173,3477.0794921875,3406.7586499999998
2025-11-26,2025-11-27,Baseline,历史跨日比例,3573.7,3513.5,3533.257870907082,3300.0173,3553.478935453541,3406.7586499999998
2025-11-26,2025-11-27,Baseline,目标时刻上周同期,3573.7,3513.5,3451.4104,3300.0173,3512.5552,3406.7586499999998
2025-11-27,2025-11-28,Baseline,XGBoost跨日边界,2375.58,2286.92,2486.39111328125,2358.9521,2430.985556640625,2322.9360500000003
2025-11-27,2025-11-28,Baseline,历史跨日比例,2375.58,2286.92,2348.696514248383,2358.9521,2362.1382571241916,2322.9360500000003
2025-11-27,2025-11-28,Baseline,目标时刻上周同期,2375.58,2286.92,2367.6198,2358.9521,2371.5999,2322.9360500000003
2025-11-28,2025-11-29,Baseline,XGBoost跨日边界,2207.79,2575.09,2506.883544921875,2495.8762,2357.3367724609375,2535.4831000000004
2025-11-28,2025-11-29,Baseline,历史跨日比例,2207.79,2575.09,2170.301522543798,2495.8762,2189.045761271899,2535.4831000000004
2025-11-28,2025-11-29,Baseline,目标时刻上周同期,2207.79,2575.09,2513.7416,2495.8762,2360.7658,2535.4831000000004
2025-11-29,2025-11-30,Baseline,XGBoost跨日边界,3314.17,3455.21,3319.541015625,3451.9161,3316.8555078125,3453.5630499999997
2025-11-29,2025-11-30,Baseline,历史跨日比例,3314.17,3455.21,3281.4735786214233,3451.9161,3297.8217893107117,3453.5630499999997
2025-11-29,2025-11-30,Baseline,目标时刻上周同期,3314.17,3455.21,3454.443,3451.9161,3384.3065,3453.5630499999997
2025-11-30,2025-12-01,Baseline,XGBoost跨日边界,3501.22,3542.73,3507.235107421875,3853.1437,3504.227553710937,3697.93685
2025-11-30,2025-12-01,Baseline,历史跨日比例,3501.22,3542.73,3466.678209911048,3853.1437,3483.9491049555236,3697.93685
2025-11-30,2025-12-01,Baseline,目标时刻上周同期,3501.22,3542.73,3579.4616,3853.1437,3540.3408,3697.93685
2025-12-01,2025-12-02,Baseline,XGBoost跨日边界,3408.88,3762.77,3485.508056640625,3647.0472,3447.1940283203126,3704.9085999999998
2025-12-01,2025-12-02,Baseline,历史跨日比例,3408.88,3762.77,3375.2492034780944,3647.0472,3392.0646017390472,3704.9085999999998
